cup,result,group,date,matchnum,away,home,home_res,away_res,home_win,away_win,match,home_victories,away_victories,home_loss,away_loss,home_losses,away_losses,home_goals,away_goals,home_goals_against,away_goals_against
1930 FIFA World Cup Uruguay ™,1-0,Group 3,18 Jul 1930,Match 9,Peru,Uruguay,1,0,1,0,9,0,0,0,1,0,1,0,1,0,1
1930 FIFA World Cup Uruguay ™,1-0,Group 1,19 Jul 1930,Match 10,France,Chile,1,0,1,0,10,1,1,0,1,0,1,3,4,0,4
1966 FIFA World Cup England ™,1-0,Quarter-finals,23 Jul 1966,Match 25,Argentina,England,1,0,1,0,25,2,2,0,1,0,0,4,4,0,2
1966 FIFA World Cup England ™,4-0,Quarter-finals,23 Jul 1966,Match 26,Uruguay,Germany FR,4,0,1,0,26,2,1,0,1,0,0,7,2,2,2
1966 FIFA World Cup England ™,2-1,Quarter-finals,23 Jul 1966,Match 27,Hungary,Soviet Union,2,1,1,0,27,3,2,0,1,0,1,6,7,2,7
1966 FIFA World Cup England ™,5-3,Quarter-finals,23 Jul 1966,Match 28,Korea DPR,Portugal,5,3,1,0,28,3,1,0,1,0,1,9,2,6,1
1966 FIFA World Cup England ™,2-1,Semi-finals,25 Jul 1966,Match 29,Soviet Union,Germany FR,2,1,1,0,29,3,4,0,1,0,0,11,8,2,4
1938 FIFA World Cup France ™,2-0,Quarter-finals,12 Jun 1938,Match 11,Switzerland,Hungary,2,0,1,0,11,1,1,0,1,0,0,6,5,0,5
1938 FIFA World Cup France ™,8-0,Quarter-finals,12 Jun 1938,Match 12,Cuba,Sweden,8,0,1,0,12,0,1,0,1,0,0,0,5,0,5
1938 FIFA World Cup France ™,3-1,Quarter-finals,12 Jun 1938,Match 13,France,Italy,3,1,1,0,13,1,1,0,1,0,0,2,3,2,3
1938 FIFA World Cup France ™,2-1,Quarter-finals,14 Jun 1938,Match 14,Czechoslovakia,Brazil,2,1,1,0,14,1,1,0,1,0,0,7,4,7,1
1962 FIFA World Cup Chile ™,1-0,Quarter-finals,10 Jun 1962,Match 28,Hungary,Czechoslovakia,1,0,1,0,28,1,2,0,1,1,0,2,8,1,8
1962 FIFA World Cup Chile ™,1-0,Quarter-finals,10 Jun 1962,Match 26,Germany FR,Yugoslavia,1,0,1,0,26,2,2,0,1,1,0,8,4,3,2
1962 FIFA World Cup Chile ™,3-1,Semi-finals,13 Jun 1962,Match 30,Yugoslavia,Czechoslovakia,3,1,1,0,30,2,3,0,1,1,1,3,9,1,3
1962 FIFA World Cup Chile ™,4-2,Semi-finals,13 Jun 1962,Match 29,Chile,Brazil,4,2,1,0,29,3,3,0,1,0,1,7,7,5,5
1958 FIFA World Cup Sweden ™,2-0,Quarter-finals,19 Jun 1958,Match 25,Soviet Union,Sweden,2,0,1,0,25,2,1,0,1,0,1,5,4,2,2
1958 FIFA World Cup Sweden ™,4-0,Quarter-finals,19 Jun 1958,Match 26,Northern Ireland,France,4,0,1,0,26,2,1,0,1,1,1,11,4,11,3
1958 FIFA World Cup Sweden ™,3-1,Semi-finals,24 Jun 1958,Match 30,Germany FR,Sweden,3,1,1,0,30,3,2,0,1,0,0,7,8,2,7
1958 FIFA World Cup Sweden ™,5-2,Semi-finals,24 Jun 1958,Match 29,France,Brazil,5,2,1,0,29,3,3,0,1,0,1,6,15,0,11
1958 FIFA World Cup Sweden ™,6-3,Match for third place,28 Jun 1958,Match 31,Germany FR,France,6,3,1,0,31,3,2,0,1,2,1,17,9,13,8
