cup,result,group,date,matchnum,away,home
2014 FIFA World Cup Brazil™,0-1,Group D,24 Jun 2014,Match 39,Uruguay,Italy
2014 FIFA World Cup Brazil™,0-0,Group D,24 Jun 2014,Match 40,England,Costa Rica
2010 FIFA World Cup South Africa™,7-0,Group G,21 Jun 2010,Match 30,Korea DPR,Portugal
2010 FIFA World Cup South Africa™,1-0,Group H,21 Jun 2010,Match 31,Switzerland,Chile
2010 FIFA World Cup South Africa™,2-0,Group H,21 Jun 2010,Match 32,Honduras,Spain
2010 FIFA World Cup South Africa™,0-1,Group A,22 Jun 2010,Match 33,Uruguay,Mexico
2014 FIFA World Cup Brazil™,1-4,Group C,24 Jun 2014,Match 37,Colombia,Japan
2014 FIFA World Cup Brazil™,2-1,Group C,24 Jun 2014,Match 38,Côte d'Ivoire,Greece
2014 FIFA World Cup Brazil™,2-3,Group F,25 Jun 2014,Match 43,Argentina,Nigeria
2014 FIFA World Cup Brazil™,3-1,Group F,25 Jun 2014,Match 44,IR Iran,Bosnia and Herzegovina
2010 FIFA World Cup South Africa™,1-2,Group A,22 Jun 2010,Match 34,South Africa,France
2010 FIFA World Cup South Africa™,2-2,Group B,22 Jun 2010,Match 35,Korea Republic,Nigeria
2010 FIFA World Cup South Africa™,0-2,Group B,22 Jun 2010,Match 36,Argentina,Greece
2010 FIFA World Cup South Africa™,0-1,Group C,23 Jun 2010,Match 37,England,Slovenia
2010 FIFA World Cup South Africa™,1-0,Group C,23 Jun 2010,Match 38,Algeria,USA
2014 FIFA World Cup Brazil™,0-3,Group E,25 Jun 2014,Match 41,Switzerland,Honduras
2014 FIFA World Cup Brazil™,0-0,Group E,25 Jun 2014,Match 42,France,Ecuador
2014 FIFA World Cup Brazil™,0-1,Group G,26 Jun 2014,Match 45,Germany,USA
2014 FIFA World Cup Brazil™,2-1,Group G,26 Jun 2014,Match 46,Ghana,Portugal
2010 FIFA World Cup South Africa™,0-1,Group D,23 Jun 2010,Match 39,Germany,Ghana
2010 FIFA World Cup South Africa™,2-1,Group D,23 Jun 2010,Match 40,Serbia,Australia
2010 FIFA World Cup South Africa™,3-2,Group F,24 Jun 2010,Match 41,Italy,Slovakia
2010 FIFA World Cup South Africa™,0-0,Group F,24 Jun 2010,Match 42,New Zealand,Paraguay
2014 FIFA World Cup Brazil™,0-1,Group H,26 Jun 2014,Match 47,Belgium,Korea Republic
2014 FIFA World Cup Brazil™,1-1,Group H,26 Jun 2014,Match 48,Russia,Algeria
2014 FIFA World Cup Brazil™,1-1,Round of 16,28 Jun 2014,Match 49,Chile,Brazil
2014 FIFA World Cup Brazil™,2-0,Round of 16,28 Jun 2014,Match 50,Uruguay,Colombia
2014 FIFA World Cup Brazil™,2-1,Round of 16,29 Jun 2014,Match 51,Mexico,Netherlands
2010 FIFA World Cup South Africa™,1-3,Group E,24 Jun 2010,Match 43,Japan,Denmark
2010 FIFA World Cup South Africa™,1-2,Group E,24 Jun 2010,Match 44,Netherlands,Cameroon
2010 FIFA World Cup South Africa™,0-0,Group G,25 Jun 2010,Match 45,Brazil,Portugal
2010 FIFA World Cup South Africa™,0-3,Group G,25 Jun 2010,Match 46,Côte d'Ivoire,Korea DPR
2014 FIFA World Cup Brazil™,1-1,Round of 16,29 Jun 2014,Match 52,Greece,Costa Rica
2014 FIFA World Cup Brazil™,2-0,Round of 16,30 Jun 2014,Match 53,Nigeria,France
2014 FIFA World Cup Brazil™,2-1,Round of 16,30 Jun 2014,Match 54,Algeria,Germany
2014 FIFA World Cup Brazil™,1-0,Round of 16,01 Jul 2014,Match 55,Switzerland,Argentina
2010 FIFA World Cup South Africa™,1-2,Group H,25 Jun 2010,Match 47,Spain,Chile
2010 FIFA World Cup South Africa™,0-0,Group H,25 Jun 2010,Match 48,Honduras,Switzerland
2010 FIFA World Cup South Africa™,2-1,Round of 16,26 Jun 2010,Match 49,Korea Republic,Uruguay
2010 FIFA World Cup South Africa™,1-2,Round of 16,26 Jun 2010,Match 50,Ghana,USA
2014 FIFA World Cup Brazil™,2-1,Round of 16,01 Jul 2014,Match 56,USA,Belgium
2014 FIFA World Cup Brazil™,0-1,Quarter-finals,04 Jul 2014,Match 58,Germany,France
2014 FIFA World Cup Brazil™,2-1,Quarter-finals,04 Jul 2014,Match 57,Colombia,Brazil
2014 FIFA World Cup Brazil™,1-0,Quarter-finals,05 Jul 2014,Match 60,Belgium,Argentina
2010 FIFA World Cup South Africa™,4-1,Round of 16,27 Jun 2010,Match 51,England,Germany
2010 FIFA World Cup South Africa™,3-1,Round of 16,27 Jun 2010,Match 52,Mexico,Argentina
2010 FIFA World Cup South Africa™,2-1,Round of 16,28 Jun 2010,Match 53,Slovakia,Netherlands
